Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro
Opel,Vivaro,2018,300 000 km,"Simnicu de Sus, Judet Dolj","15 950"
Ford,Mondeo,2005,253 000 km,"Voluntari, Judet Bucuresti - Ilfov","2 100"
BMW,X6,2020,155 000 km,"Mioveni, Judet Arges","70 999"
SsangYong,Korando,2023,1 km,"Baba Novac 78 - 900366 Constanta, Judet Constanta (Romania)","24 499"
Nissan,Qashqai,2013,202 000 km,"Negresti-Oas, Judet Satu Mare","9 500"
Volvo,V60,2014,280 000 km,"Timisoara, Judet Timis","11 200"
Renault,Kadjar,2017,145 200 km,"B-dul 22 Decembrie, nr 259 - 330161 Deva, Judet Hunedoara (Romania)","13 989"
Opel,Mokka,2016,255 466 km,"Șoseaua Alexandriei 56, Bragadiru, România - 080643 Bragadiru, Judet Bucuresti - Ilfov (Romania)","7 990"
Mercedes-Benz,G,2024,1 km,"Strada Traian nr. 239 - 800186 Galati, Judet Galati (Romania)","173 266"
Audi,Q5,2018,125 000 km,"Darmanesti, Judet Bacau","26 000"
Mercedes-Benz,A,2017,63 500 km,"Bucuresti, Sectorul 6","28 000"
Audi,A4,2019,196 500 km,"Strada Gladiolelor 39 - 077025 Bragadiru, Judet Bucuresti - Ilfov (Romania)","22 940"
Mazda,CX-5,2012,210 000 km,"Calea Aurel Vlaicu 275c, Arad, România - 310350 Arad, Judet Arad (Romania)","13 499"
BMW,Seria 5,2018,154 552 km,"STR BASARABIEI NR 1 - 110161 Pitesti, Judet Arges (Romania)","26 900"
Skoda,Octavia,2018,151 000 km,"SPLAIUL UNIRII 865H - 030352 Bucuresti, Judet Bucuresti (Romania)","12 450"
Nissan,Qashqai,2016,242 000 km,"Calea Aurel Vlaicu 275c, Arad, România - 310350 Arad, Judet Arad (Romania)","13 499"
Skoda,RAPID,2018,96 693 km,"Bd. sofia Vicoveanca, nr 6 - 720284 Suceava, Judet Suceava (Romania)","12 149"
Skoda,Octavia,2018,122 691 km,"Bd. sofia Vicoveanca, nr 6 - 720284 Suceava, Judet Suceava (Romania)","13 997"
Dacia,Logan,2013,216 810 km,"Buftea, Judet Bucuresti - Ilfov","4 600"
Audi,A8,2022,24 400 km,"Drumul Osiei 52 - 062395 Bucuresti, Judet Bucuresti (Romania)","99 999"
SsangYong,Torres,2023,1 km,"Baba Novac 78 - 900366 Constanta, Judet Constanta (Romania)","32 909"
Volkswagen,Passat,2019,84 119 km,"Splaiul Unirii Nr.643-673 Sector 3 - 030138 Bucuresti, Judet Bucuresti (Romania)","21 900"
Porsche,Cayenne,2018,117 354 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","62 450"
Maserati,Quattroporte,2013,148 300 km,"Brasov, Judet Brasov","29 900"
Audi,A3,2018,64 383 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","17 800"
Dacia,Sandero,2014,89 000 km,"Bucuresti, Sectorul 2","5 900"
Peugeot,3008,2023,1 km,"DN 39, parcela A 432 2 - 907016 Lazu, Judet Constanta (Romania)","32 900"
Skoda,Superb,2020,138 542 km,"Str. Oasului, Nr. 83 - 400256 Cluj-Napoca, Judet Cluj (Romania)","28 389"
Jaguar,F-Pace,2017,190 540 km,"Calea Bucuresti 241 - 500299 Brasov, Judet Brasov (Romania)","19 900"
Skoda,Octavia,2018,96 603 km,"Bd Pipera 1/x - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","18 950"
Dacia,Jogger,2023,10 km,"Splaiul Unirii, Nr.311 - 031111 Bucuresti, Judet Bucuresti (Romania)","17 900"
Dacia,Jogger,2023,1 km,"Calea Bucureștilor 35, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","19 992"
BMW,X6,2021,50 500 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","84 960"
Renault,Megane,2012,254 123 km,"Soseaua Bucuresti-Pitesti Km.110 - 117719 Stefanesti, Judet Arges (Romania)","5 990"
Peugeot,208,2022,2 087 km,"DN 65 B nr 5 - 117140 Geamana, Judet Arges (Romania)","23 500"
Smart,Fortwo,2023,,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","27 568"
Ford,Focus,2021,22 798 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","15 490"
Renault,Kangoo,2012,220 000 km,"Sibiu, Judet Sibiu","5 200"
Mercedes-Benz,G,2023,250 km,"Arad, Calea Radnei, Nr. 247 - 310316 Arad, Judet Arad (Romania)","368 888"
Ford,Edge,2019,75 000 km,"Splaiul Unirii 697 ( Starleasing pe waze ) - 031502 Bucuresti, Judet Bucuresti (Romania)","26 490"
Mercedes-Benz,EQB,2023,3 km,"Str Gheorghe Doja nr 304 - 540237 Targu-Mures, Judet Mures (Romania)","66 166"
Opel,Corsa,2023,2 km,"Clujului - 407042 Sannicoara, Judet Cluj (Romania)","20 575"
Skoda,Superb,2017,165 308 km,"Calea Moldovei 239, Bacău, Romania - 600353 Bacau, Judet Bacau (Romania)","20 899"
Dacia,Dokker,2014,301 214 km,"Calea Aurel Vlaicu Nr. 282/1 - 310375 Arad, Judet Arad (Romania)","5 236"
Land Rover,Range Rover Sport,2023,1 km,"DN 65B, Nr. 11, Zona Comercială - 117140 Pitesti, Judet Arges (Romania)","120 303"
Mercedes-Benz,C,2020,144 000 km,"Aleea Sinaia L150(LANGA RESTAURANT SOLARINO) - 13004 Aninoasa, Judet Dambovita (Romania)","29 988"
BMW,Seria 3,2021,39 713 km,"Horia, Closca si Crisan ,nr 17 - 213269 Otopeni, Judet Bucuresti - Ilfov (Romania)","39 841"
Toyota,RAV4,2019,97 758 km,"Calea Turzii Nr. 176-178 - 400495 Cluj-Napoca, Judet Cluj (Romania)","34 950"
Nissan,Juke,2011,103 354 km,"Calea Aurel Vlaicu Nr. 282/1 - 310375 Arad, Judet Arad (Romania)","7 490"
Toyota,RAV4,2008,271 500 km,"Buhusi, Judet Bacau","5 100"
Mercedes-Benz,CLS,2021,31 900 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","63 592"
Audi,SQ8,2023,22 km,"Piata Montreal 10, intrarea E, Parter, - 121229 Bucuresti, Judet Bucuresti (Romania)","117 067"
Audi,A4,2017,188 879 km,"Oradea, Judet Bihor","17 000"
Nissan,X-Trail,2016,184 330 km,"Argeșelu, Comuna Mărăcineni, România - 117450 Maracineni, Judet Arges (Romania)","15 005"
Kia,Sportage,2023,5 km,"Cal. Lugojului nr. 135 - 307200 Timisoara, Judet Timis (Romania)","38 112"
BMW,Seria 2,2019,49 891 km,"Racordarii, NR 12-18 - 012686 Bucuresti, Judet Bucuresti (Romania)","19 900"
Volkswagen,Passat,2017,147 000 km,"Gheorgheni, Judet Harghita","16 500"
Volkswagen,Touran,2006,355 860 km,"Floresti, Judet Cluj","2 800"
Peugeot,308,2019,180 000 km,"Bucuresti, Sectorul 2","9 900"
Audi,A4 Allroad,2016,255 000 km,"Strada Corneliu Coposu 167, Cluj-Napoca, România - 400280 Cluj-Napoca, Judet Cluj (Romania)","12 990"
Renault,Kadjar,2018,176 000 km,"Str.Constructorilor,intrare Lipovei-Dumbravita - 300245 Timisoara, Judet Timis (Romania)","14 499"
Audi,Q5,2017,136 500 km,"Turnu Magurele, Judet Teleorman","21 999"
Mercedes-Benz,GLC,2020,57 000 km,"Calea Sagului Mercedes, 142 - 300517 Timisoara, Judet Timis (Romania)","59 762"
Mercedes-Benz,AMG GT-S,2024,1 km,"Strada Traian nr. 239 - 800186 Galati, Judet Galati (Romania)","223 653"
Audi,A4,2019,180 000 km,"STRIGATURII NR 8 - 70000 Bucuresti, Judet Bucuresti (Romania)","19 899"
Audi,RS6,2022,21 800 km,"Soseaua Gheorghe Ionescu Sisesti Nr 351-353 - 014144 Bucuresti, Judet Bucuresti (Romania)","122 999"
Mercedes-Benz,GLS,2022,27 623 km,"Calea Sagului Mercedes, 142 - 300517 Timisoara, Judet Timis (Romania)","180 868"
Mercedes-Benz,E,2017,94 000 km,"Calea Sagului Mercedes, 142 - 300517 Timisoara, Judet Timis (Romania)","29 750"
Mercedes-Benz,GLE,2022,9 431 km,"Calea Sagului Mercedes, 142 - 300517 Timisoara, Judet Timis (Romania)","75 208"
Mercedes-Benz,GLB,2021,19 861 km,"Calea Sagului Mercedes, 142 - 300517 Timisoara, Judet Timis (Romania)","52 955"
Skoda,Kodiaq,2019,107 514 km,"Calea Turzii 223 - 400500 Cluj-Napoca, Judet Cluj (Romania)","24 700"
Opel,Corsa,2022,2 km,"Str. Calea Bucuresti nr 115,comuna Pielesti - 200000 Craiova, Judet Dolj (Romania)","12 990"
Skoda,Kodiaq,2018,126 514 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","23 750"
Ford,Tourneo Connect,2016,150 000 km,"Careiului 77-79 - 447230 Satu Mare, Judet Satu Mare (Romania)","11 900"
Renault,Megane,2020,38 200 km,"B-dul 22 Decembrie, nr 259 - 330161 Deva, Judet Hunedoara (Romania)","18 990"
Mercedes-Benz,CLA,2020,200 000 km,"Splaiul Unirii 697 ( Starleasing pe waze ) - 031502 Bucuresti, Judet Bucuresti (Romania)","25 990"
Hyundai,Santa Fe,2007,264 736 km,"Str Calea Bucurestilor nr155-159 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","5 890"
Audi,A6,2017,63 246 km,"Str Calea Bucurestilor nr155-159 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","24 990"
Audi,Q8,2019,104 000 km,"STR. CAREIULUI NR 242 - 440203 Satu Mare, Judet Satu Mare (Romania)","64 855"
BMW,Seria 7,2023,800 km,"Ploiesti, Judet Prahova","159 999"
BMW,X1,2014,240 000 km,"Calea Aurel Vlaicu 275c, Arad, România - 310350 Arad, Judet Arad (Romania)","11 499"
Mazda,3,2010,197 706 km,"Bulevardul Sofia Vicoveanca nr 52 jud.Suceava - 720181 Suceava, Judet Suceava (Romania)","6 750"
Audi,A4,2023,5 145 km,"Str. Calea Bucuresti, Nr. 37 - 240300 Ramnicu Valcea, Judet Valcea (Romania)","38 997"
Volkswagen,Tiguan,2017,236 000 km,"Sub Coasta Centura Apahida de la Omv spre Dej/Gher - 400186 Cluj-Napoca, Judet Cluj (Romania)","17 500"
Mercedes-Benz,G,2022,13 500 km,"P-ta Montreal, Nr 10,Intrarea E - 322790 Bucuresti, Judet Bucuresti (Romania)","175 000"
Skoda,Octavia,2019,130 078 km,"SPLAIUL UNIRII 355-369 - 032108 Bucuresti, Judet Bucuresti (Romania)","15 800"
Ford,Transit,2023,1 km,"Bdul Dorobantilor nr.669 - 800145 Braila, Judet Braila (Romania)","42 126"
Ford,Focus,2019,126 800 km,"Str. Oasului, Nr. 83 - 400256 Cluj-Napoca, Judet Cluj (Romania)","14 988"
Dacia,Duster,2022,30 605 km,"Bucuresti, Sector 1, Bulevardul Expozitiei, Nr. 22 - 012103 Bucuresti, Judet Bucuresti (Romania)","19 490"
Renault,Clio,2008,183 863 km,"Brasov, Judet Brasov","3 299"
Opel,Corsa,2017,66 000 km,"Bacau, Judet Bacau","9 900"
Audi,A3,2014,234 000 km,"Soseaua Odaii 243 - 241244 Bucuresti, Judet Bucuresti (Romania)","11 990"
Nissan,Juke,2017,43 000 km,"Soseaua Odaii 243 - 241244 Bucuresti, Judet Bucuresti (Romania)","12 490"
BMW,Seria 5,2019,35 000 km,"Bucuresti, Sectorul 1","41 500"
Volkswagen,Passat,2019,113 000 km,"SPLAIUL UNIRII 865H - 030352 Bucuresti, Judet Bucuresti (Romania)","23 250"
Jeep,Wrangler,2016,22 000 km,"Arad, Calea Radnei, Nr. 247 - 310316 Arad, Judet Arad (Romania)","64 641"
Mercedes-Benz,C,2016,65 000 km,"str 23 august - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","18 490"
Smart,Fortwo,2009,126 000 km,"Ramnicu Valcea, Judet Valcea","3 500"
Volvo,XC 40,2023,3 000 km,"GHEORGHE DOJA, NR 304 - 540237 Targu-Mures, Judet Mures (Romania)","49 380"
Kia,EV6,2021,14 692 km,"Vaslui, Soseaua Nationala nr.3 - 730003 Vaslui, Judet Vaslui (Romania)","43 500"
Hyundai,IONIQ,2023,500 km,"Str. Albota Nr. 2 - 012103 Pitesti, Judet Arges (Romania)","32 300"
Ford,Edge,2017,133 439 km,"STR. CALEA TURZII, NR. 152 - 400495 Cluj-Napoca, Judet Cluj (Romania)","22 990"
Lamborghini,URUS,2021,45 420 km,"P-ta Montreal Nr 10 - 324567 Bucuresti, Judet Bucuresti (Romania)","299 979"
BMW,Seria 3,2019,185 000 km,"Bd. Aurel Vlaicu Nr. 252 - 900605 Constanta, Judet Constanta (Romania)","25 990"
Mercedes-Benz,E,2023,6 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","96 015"
Nissan,Juke,2011,193 000 km,"Str Teilor nr.170 - 307201 Timisoara, Judet Timis (Romania)","7 699"
Mercedes-Benz,GLA,2023,4 km,"Str Gheorghe Doja nr 304 - 540237 Targu-Mures, Judet Mures (Romania)","57 292"
Dacia,Duster,2021,71 300 km,"CALEA BUCURESTI 240 - 500299 Brasov, Judet Brasov (Romania)","19 278"
Peugeot,308,2011,2 700 000 km,"Ploiesti, Judet Prahova","3 500"
Volvo,XC 60,2011,238 000 km,"Cluj-Napoca, Judet Cluj","9 100"
Mercedes-Benz,AMG,2019,9 652 km,"Strada Traian nr. 239 - 800186 Galati, Judet Galati (Romania)","134 899"
Peugeot,2008,2015,88 000 km,"Iasi, Judet Iasi","8 999"
Audi,Q8,2023,2 500 km,"dj 106k, 124 - 515800 Sebes, Judet Alba (Romania)","89 999"
Mercedes-Benz,GLE,2020,35 000 km,"Strada Traian nr. 239 - 800186 Galati, Judet Galati (Romania)","93 899"
Audi,A6,2019,159 440 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","29 000"
Audi,A6,2019,159 440 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","29 000"
Mercedes-Benz,E,2010,276 000 km,"Bd. AUREL VLAICU in sensul giratoriu cu BABA NOVAC - 900927 Constanta, Judet Constanta (Romania)","8 900"
Mercedes-Benz,C,2016,138 000 km,"Botosani, Judet Botosani","27 500"
Dacia,Duster,2012,209 000 km,"Str.Constructorilor,intrare Lipovei-Dumbravita - 300245 Timisoara, Judet Timis (Romania)","7 999"
Mercedes-Benz,S,2009,216 000 km,"Bd. AUREL VLAICU in sensul giratoriu cu BABA NOVAC - 900927 Constanta, Judet Constanta (Romania)","8 800"
Mercedes-Benz,S,2009,229 000 km,"Bd. AUREL VLAICU in sensul giratoriu cu BABA NOVAC - 900927 Constanta, Judet Constanta (Romania)","9 600"
Volkswagen,Tiguan,2009,225 589 km,"Bulevardul Sofia Vicoveanca nr 52 jud.Suceava - 720181 Suceava, Judet Suceava (Romania)","9 350"
Volkswagen,Passat CC,2013,255 000 km,"Timisoara, Judet Timis","10 499"
Renault,Megane,2011,185 461 km,"Str Calea Bucurestilor nr155-159 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","5 590"
Audi,A8,2021,33 000 km,"Drumul Osiei 52 - 062395 Bucuresti, Judet Bucuresti (Romania)","98 000"
Mercedes-Benz,CLA,2022,16 439 km,"Șoseaua București-Ploiești 42D, Bucharest, Romania - 015011 Bucuresti, Judet Bucuresti (Romania)","73 000"
Ford,Edge,2019,107 000 km,"str 23 august - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","29 490"
Renault,Arkana,2021,62 586 km,"Strada Botizului, Nr 43 A - 440101 Satu Mare, Judet Satu Mare (Romania)","24 990"
Toyota,C-HR,2017,109 025 km,"Cornetu, Judet Bucuresti - Ilfov","18 000"
Volkswagen,Golf,2015,212 000 km,"Pantelimon, Judet Bucuresti - Ilfov","9 000"
Mitsubishi,Pajero,2009,250 000 km,"Splaiul Unirii 697 ( Starleasing pe waze ) - 031502 Bucuresti, Judet Bucuresti (Romania)","13 491"
Dacia,Duster,2012,221 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","6 790"
Volkswagen,Golf,2011,237 000 km,"Bucuresti, Sectorul 3","4 950"
BMW,X5,2020,88 000 km,"Drumul Eugen Brote nr 1 - 013833 Bucuresti, Judet Bucuresti (Romania)","52 500"
Ford,Focus,2019,62 801 km,"Str. Oasului, Nr. 83 - 400256 Cluj-Napoca, Judet Cluj (Romania)","18 699"
BMW,X7,2023,19 206 km,"STR. CALEA TURZII, NR. 172 - 400495 Cluj-Napoca, Judet Cluj (Romania)","114 989"
Opel,Astra,2011,230 000 km,"Intrarea Splaiul Unirii nr.1 - 077106 Catelu, Judet Bucuresti - Ilfov (Romania)","4 999"
Land Rover,Range Rover,2017,149 500 km,"Bucuresti, Sectorul 2","42 000"
Audi,Q5,2020,44 381 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","38 900"
Mercedes-Benz,ML,2015,300 000 km,"Bd. AUREL VLAICU in sensul giratoriu cu BABA NOVAC - 900927 Constanta, Judet Constanta (Romania)","21 900"
Audi,A4,2008,299 579 km,"CALEA FLORESTI NR.145 - 400524 Cluj-Napoca, Judet Cluj (Romania)","9 590"
Mercedes-Benz,A,2022,9 852 km,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","39 784"
Toyota,RAV4,2017,96 500 km,"Strada Galata 20, Voluntari, Romania - 077180 Voluntari, Judet Bucuresti - Ilfov (Romania)","22 608"
Volkswagen,Tiguan,2017,100 000 km,"Drumul Eugen Brote nr 1 - 013833 Bucuresti, Judet Bucuresti (Romania)","17 798"
Mercedes-Benz,EQB,2022,11 000 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","62 951"
Audi,A4,2013,235 000 km,"Str.Constructorilor,intrare Lipovei-Dumbravita - 300245 Timisoara, Judet Timis (Romania)","11 499"
Audi,Q5,2020,99 000 km,"BULEVARDUL DEM RADULESCU NR.29 - 240425 Ramnicu Valcea, Judet Valcea (Romania)","33 915"
Skoda,Kodiaq,2017,110 497 km,"Șoseaua Alexandriei 56, Bragadiru, România - 080643 Bragadiru, Judet Bucuresti - Ilfov (Romania)","20 999"
Chevrolet,Cruze,2010,152 205 km,"Bd. Iuliu Maniu Nr 246 - 325467 Bucuresti, Judet Bucuresti (Romania)","4 250"
Mercedes-Benz,C,2022,1 000 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","58 893"
Volkswagen,Golf Sportsvan,2014,161 440 km,"LIBERTATII - 420155 Bistrita, Judet Bistrita-Nasaud (Romania)","11 900"
Mercedes-Benz,GLE Coupe,2023,,"Spl. Unirii - 166A - 40042 Bucuresti, Judet Bucuresti (Romania)","135 405"
Dacia,Duster,2019,131 927 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","12 990"
Smart,Fortwo,2022,,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","27 469"
BMW,X6,2023,7 700 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","87 499"
Smart,Fortwo,2023,,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","27 429"
Volkswagen,Passat,2011,225 018 km,"Falticeni, Judet Suceava","9 900"
Mercedes-Benz,GLC,2017,86 000 km,"Arad, Calea Radnei, Nr. 247 - 310316 Arad, Judet Arad (Romania)","36 346"
Dacia,Lodgy,2013,227 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","5 990"
BMW,X5,2021,21 674 km,"Calea Bucuresti, Nr 95-97 - 321559 Otopeni, Judet Bucuresti - Ilfov (Romania)","91 850"
Mazda,CX-5,2019,41 000 km,"Calea Bucurestilor Nr. 95-97 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","29 890"
Mazda,CX-5,2019,37 100 km,"Calea Bucurestilor Nr. 95-97 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","28 989"
Volvo,XC 60,2019,122 400 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","29 900"
Volvo,V40,2014,169 137 km,"STRADA ATOMISTILOR NR.50, MAGURELE, ILFOV - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","12 509"
Mercedes-Benz,G,1980,86 500 km,"BD. BUCURESTI NR.65 - 430013 Baia Mare, Judet Maramures (Romania)","35 000"
Mercedes-Benz,GLB,2022,6 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","58 260"
Mercedes-Benz,E,2017,86 000 km,"Calea Sagului Mercedes, 142 - 300517 Timisoara, Judet Timis (Romania)","34 200"
Nissan,Juke,2015,249 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","9 999"
Skoda,Octavia,2019,65 986 km,"Calea Turzii 223 - 400500 Cluj-Napoca, Judet Cluj (Romania)","14 990"
Land Rover,Range Rover,2022,20 600 km,"SOSEAUA GHEORGHE IONESCU SISESTI 351-353, SECTOR 1 - 013822 Bucuresti, Judet Bucuresti (Romania)","160 650"
Mercedes-Benz,A,2023,4 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","54 857"
Peugeot,508,2014,199 900 km,"Buftea, Judet Bucuresti - Ilfov","10 500"
Volkswagen,Caddy,2005,213 523 km,"str draganesti 31 - 230067 Slatina, Judet Olt (Romania)","4 800"
BMW,X5,2018,115 000 km,"Bucuresti, Judet Bucuresti","42 000"
Dacia,Logan,2019,108 297 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","8 600"
Dacia,Duster,2021,92 400 km,"B-dul 22 Decembrie, nr 259 - 330161 Deva, Judet Hunedoara (Romania)","19 550"
Mercedes-Benz,Vito,2023,22 038 km,"Șoseaua București-Ploiești 42D, Bucharest, Romania - 015011 Bucuresti, Judet Bucuresti (Romania)","57 600"
Mercedes-Benz,ML,2012,247 000 km,"Bd. AUREL VLAICU in sensul giratoriu cu BABA NOVAC - 900927 Constanta, Judet Constanta (Romania)","17 900"
Toyota,Hilux,2018,62 000 km,"Calea Turzii Nr. 176-178 - 400495 Cluj-Napoca, Judet Cluj (Romania)","34 500"
Volkswagen,Passat,2014,329 000 km,"Targoviste, Judet Dambovita","7 998"
Mercedes-Benz,G,2021,62 584 km,"BD. BUCURESTI NR.65 - 430013 Baia Mare, Judet Maramures (Romania)","127 330"
Mercedes-Benz,GLE Coupe,2023,,"sat Rudeni, nr. 103 - 077046 Chitila, Judet Bucuresti - Ilfov (Romania)","111 511"
Renault,Fluence,2013,28 000 km,"Bucuresti, Sectorul 5","7 800"
Volkswagen,Tiguan,2011,289 000 km,"Bd. AUREL VLAICU in sensul giratoriu cu BABA NOVAC - 900927 Constanta, Judet Constanta (Romania)","8 500"
Volvo,XC 60,2020,169 950 km,"Ploiesti, Judet Prahova","26 550"
Hyundai,Tucson,2017,157 000 km,"Galati, Galati - 800364 Galati, Judet Galati (Romania)","13 950"
Volkswagen,Passat,2010,280 000 km,"Constantin Langa nr 200 Miroslava - 707305 Miroslava, Judet Iasi (Romania)","4 900"
Audi,A4,2021,95 943 km,"Calea Turzii 223 - 400500 Cluj-Napoca, Judet Cluj (Romania)","33 700"
Volkswagen,Beetle,2013,148 000 km,"Bd. AUREL VLAICU in sensul giratoriu cu BABA NOVAC - 900927 Constanta, Judet Constanta (Romania)","8 900"
Ford,Fiesta,2015,291 000 km,"Bd. AUREL VLAICU in sensul giratoriu cu BABA NOVAC - 900927 Constanta, Judet Constanta (Romania)","5 500"
Volkswagen,Passat CC,2011,320 000 km,"Timisoara, Judet Timis","7 400"
Mercedes-Benz,E,2022,11 578 km,"Șoseaua București-Ploiești 42D, Bucharest, Romania - 015011 Bucuresti, Judet Bucuresti (Romania)","60 500"
Mercedes-Benz,V,2023,3 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","92 152"
Opel,Zafira,2016,171 322 km,"Strada Conac 60, Dumbrăvița, România - 300627 Timisoara, Judet Timis (Romania)","8 650"
Opel,Grandland X,2022,39 370 km,"Strada Progresului 134-138, București, România - 050696 Bucuresti, Judet Bucuresti (Romania)","24 250"
BMW,X3,2012,225 000 km,"Galati, Judet Galati","11 500"
Fiat,500,2022,1 km,"B-dul Bucuresti 104 A - 430013 Baia Mare, Judet Maramures (Romania)","13 248"
Mercedes-Benz,GLA,2018,67 511 km,"sat Rudeni, nr. 103 - 077046 Chitila, Judet Bucuresti - Ilfov (Romania)","26 500"
Volvo,XC 60,2022,39 000 km,"GHEORGHE DOJA, NR 304 - 540237 Targu-Mures, Judet Mures (Romania)","41 500"
Skoda,Scala,2022,10 814 km,"Petrochimiștilor, Nr. 34 - 110181 Pitesti, Judet Arges (Romania)","22 900"
Mercedes-Benz,A,2022,5 107 km,"Șoseaua București-Ploiești 42D, Bucharest, Romania - 015011 Bucuresti, Judet Bucuresti (Romania)","40 650"
Audi,A6,2014,250 000 km,"Splaiul Unirii 697 ( Starleasing pe waze ) - 031502 Bucuresti, Judet Bucuresti (Romania)","12 990"
Jaguar,I-Pace,2019,116 200 km,"Iasi, Judet Iasi","39 000"
Lexus,Seria LS,2007,206 500 km,"Bucuresti, Sectorul 6","15 500"
Skoda,Superb,2019,50 500 km,"Bucuresti, Sectorul 3","27 400"
Volvo,XC 60,2022,40 500 km,"GHEORGHE DOJA, NR 304 - 540237 Targu-Mures, Judet Mures (Romania)","41 500"
Mazda,3,2009,214 000 km,"Str. Mesteacanului Nr.30 - 300410 Timisoara, Judet Timis (Romania)","3 499"
Volkswagen,ARTEON,2020,112 700 km,"Str. Oasului, Nr. 83 - 400256 Cluj-Napoca, Judet Cluj (Romania)","33 499"
Dacia,Dokker,2018,135 034 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","9 950"
Land Rover,Freelander,2013,162 512 km,"Bd. General Nicolae Dascalescu, nr 492B - 610200 Piatra Neamt, Judet Neamt (Romania)","11 499"
Volkswagen,Caddy,2022,38 900 km,"Splaiul Unirii 643-673 Sector 3 Bucuresti - 030138 Bucuresti, Judet Bucuresti (Romania)","20 500"
Renault,Captur,2020,33 892 km,"Splaiul Unirii Nr.643-673 Sector 3 - 030138 Bucuresti, Judet Bucuresti (Romania)","17 990"
Skoda,Octavia,2019,188 000 km,"Strada Ciheiului 46h, Oradea, România - 410545 Oradea, Judet Bihor (Romania)","13 990"
Volkswagen,Passat,2018,99 910 km,"Splaiul Unirii Nr.643-673 Sector 3 - 030138 Bucuresti, Judet Bucuresti (Romania)","18 900"
BMW,Seria 4,2018,122 000 km,"P-ta Montreal, Nr 10,Intrarea E - 322790 Bucuresti, Judet Bucuresti (Romania)","38 999"
Audi,A4,2013,239 700 km,"CALEA MOLDOVEI - 600353 Bacau, Judet Bacau (Romania)","11 650"
Seat,Ibiza,2011,183 000 km,"Bld. Aurel Vlaicu nr.285 - 900131 Constanta, Judet Constanta (Romania)","4 750"
Volvo,XC 90,2023,2 380 km,"Calea Moldovei 239, Bacău, Romania - 600353 Bacau, Judet Bacau (Romania)","84 675"
Ford,EcoSport,2019,34 268 km,"Strada Progresului 134-138, București, România - 050696 Bucuresti, Judet Bucuresti (Romania)","14 750"
Honda,HR-V,2022,25 000 km,"Bucuresti, Sectorul 3","27 500"
BMW,X3,2008,190 000 km,"Tatarani, Judet Prahova","6 850"
