Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro
Mitsubishi,L200,2021,31 641 km,"Dn 65B { Autostrada A1 } Km 4+750 Dreapta - 117140 Pitesti, Judet Arges (Romania)","33 250"
Audi,Q8,2023,1 km,"Drumul Garii Odai 2A, Cladirea AIRPORT PLAZA - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","95 081"
Mercedes-Benz,GLC,2016,170 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","25 990"
BMW,X5,2019,121 320 km,"Bulevardul Pipera 1 Voluntari, Romania - 077191 Voluntari, Judet Bucuresti - Ilfov (Romania)","56 999"
Skoda,Octavia,2016,365 000 km,"Timisoara, Judet Timis","7 400"
Renault,Megane,2018,53 000 km,"Bucuresti, Sectorul 3","18 900"
BMW,Seria 7,2023,8 900 km,"Spicului 2 - 440278 Satu Mare, Judet Satu Mare (Romania)","119 999"
Audi,A5,2016,268 814 km,"Str. Corneliu Coposu - 40000 Cluj-Napoca, Judet Cluj (Romania)","17 750"
Volkswagen,Passat,2020,80 638 km,"DN 1B, KM. 11+500 - 100800 Bucov, Judet Prahova (Romania)","18 897"
Hyundai,Tucson,2016,174 416 km,"Str. Corneliu Coposu - 40000 Cluj-Napoca, Judet Cluj (Romania)","17 950"
Audi,Q8,2023,1 000 km,"Drumul Garii Odai 2A, Cladirea AIRPORT PLAZA - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","86 751"
Volkswagen,Golf,2011,117 852 km,"Braila, Judet Braila","7 600"
Volkswagen,Transporter,2009,252 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 800"
Mercedes-Benz,E,2019,276 000 km,"Com. Calinesti, Sat. Gorganu, Nr. 360 - 117199 Calinesti, Judet Arges (Romania)","26 900"
Audi,A6,2020,96 990 km,"Bulevardul Pipera 28-30 - 077190 Ilfov, Judet Ilfov (Romania)","39 984"
Audi,A5,2013,241 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","13 700"
Audi,A8,2023,25 km,"Strada Sforii, Brașov, Romania - 500484 Brasov, Judet Brasov (Romania)","119 990"
