Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro,PriceLei
BMW,Seria 2,2021,8 533 km,"Calea Bucurestilor Nr. 95-97 - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","35 949","35 949"
Mercedes-Benz,GLC,2015,109 568 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","26 900","26 900"
Smart,Fortwo,2023,5 km,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","26 714","26 714"
Smart,Fortwo,2023,5 km,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","26 474","26 474"
Mercedes-Benz,AMG GT-S,2016,79 053 km,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","95 899","95 899"
Mercedes-Benz,GLE,2021,97 000 km,"Aleea Sinaia L150(LANGA RESTAURANT SOLARINO) - 13004 Aninoasa, Judet Dambovita (Romania)","66 640","66 640"
Smart,Fortwo,2023,5 km,"Șoseaua București Nord 18, Voluntari, Romania - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","26 674","26 674"
Mercedes-Benz,C,2023,6 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","81 039","81 039"
Mercedes-Benz,190,1991,331 000 km,"Galati, Galati - 800364 Galati, Judet Galati (Romania)","4 350","4 350"
Audi,SQ5,2023,450 km,"Piata Montreal 10, intrarea E, Parter, - 121229 Bucuresti, Judet Bucuresti (Romania)","78 482","78 482"
Nissan,Qashqai,2010,234 000 km,"Str.Constructorilor,intrare Lipovei-Dumbravita - 300245 Timisoara, Judet Timis (Romania)","8 499","8 499"
BMW,Seria 5,2017,173 921 km,"SPLAIUL UNIRII NR. 955-963, SECTOR 3 - 030140 Bucuresti, Judet Bucuresti (Romania)","33 903","33 903"
Mercedes-Benz,G,2023,,"Spl. Unirii - 166A - 40042 Bucuresti, Judet Bucuresti (Romania)","252 776","252 776"
