Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro,PriceLei
Hyundai,Santa Fe,2014,172 200 km,"STR. RUBINULUI 8 - 707083 Valea Lupului, Judet Iasi (Romania)","15 700","15 700"
Mercedes-Benz,ML,2012,213 000 km,"Str. Unirii, Nr. 11 - 430271 Baia Mare, Judet Maramures (Romania)","20 990","20 990"
Toyota,C-HR,2019,78 324 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","19 350","19 350"
BMW,Seria 5,2013,138 910 km,"Sibiu, Judet Sibiu","19 500","19 500"
Mercedes-Benz,GLC,2021,13 543 km,"Str Gheorghe Doja nr 304 - 540237 Targu-Mures, Judet Mures (Romania)","85 561","85 561"
Mercedes-Benz,CLS,2019,104 000 km,"SOS ALEXANDRIEI NR.83 - 077025 Ilfov, Judet Ilfov (Romania)","52 715","52 715"
Lexus,Seria ES,2019,121 000 km,"STR. RUBINULUI 8 - 707083 Valea Lupului, Judet Iasi (Romania)","36 295","36 295"
BMW,Seria 3,2017,209 157 km,"STR.VALEA CASCADELOR 11 F , SECTOR 6 BUCURESTI - 061511 Bucuresti, Judet Bucuresti (Romania)","18 599","18 599"
Ford,Focus,2016,92 700 km,"Bucuresti, Sectorul 5","9 150","9 150"
Toyota,Auris,2016,125 000 km,"Bucuresti, Sectorul 5","9 000","9 000"
Hyundai,I30,2016,115 714 km,"Bucuresti, Sectorul 4","9 700","9 700"
BMW,X6,2014,230 000 km,"Com. Sacalaz, Sat Sacalaz, Str. Industriei Nr.2 - 307370 Timisoara, Judet Timis (Romania)","26 990","26 990"
Opel,Astra,2019,176 000 km,"Bucuresti, Sectorul 5","8 950","8 950"
Fiat,Tipo,2017,205 749 km,"Calea Bucurestilor, nr. 224E - 075150 Otopeni, Judet Bucuresti - Ilfov (Romania)","6 199","6 199"
Lexus,Seria NX,2018,169 091 km,"Bulevardul Biruinței 140, Pantelimon, România - 077145 Pantelimon, Judet Bucuresti - Ilfov (Romania)","24 990","24 990"
Dacia,Duster,2015,189 000 km,"str piscul crasani nr 87 - 062337 Bucuresti, Judet Bucuresti (Romania)","8 450","8 450"
Ford,Kuga,2017,184 004 km,"Calea Bucurestilor, nr. 224E - 075150 Otopeni, Judet Bucuresti - Ilfov (Romania)","16 999","16 999"
Volkswagen,Touareg,2015,163 214 km,"Sibiu, Judet Sibiu","21 500","21 500"
Opel,Astra,2019,35 000 km,"Maresal Averescu 8-10 - 011455 Bucuresti, Judet Bucuresti (Romania)","10 234","10 234"
Ford,Kuga,2018,78 129 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","17 951","17 951"
Mercedes-Benz,GLA,2019,32 952 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","22 950","22 950"
BMW,Seria 1,2012,212 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","7 999","7 999"
Ford,Focus,2010,249 999 km,"Bd. Timisoara nr. 104E - 61334 Bucuresti, Judet Bucuresti (Romania)","2 999","2 999"
BMW,X4,2018,112 002 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","41 638","41 638"
Audi,A8,2022,27 500 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","80 906","80 906"
Dacia,Dokker,2013,139 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","8 200","8 200"
Jaguar,F-Pace,2018,178 000 km,"Bucuresti, Sectorul 6","22 900","22 900"
Nissan,Qashqai+2,2012,184 271 km,"Str. Corneliu Coposu - 40000 Cluj-Napoca, Judet Cluj (Romania)","9 850","9 850"
Ford,Focus,2019,124 446 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","11 950","11 950"
BMW,X6,2012,265 000 km,"Braila, Judet Braila","14 900","14 900"
Dacia,Duster,2022,29 999 km,"Bd. Timisoara nr. 104E - 61334 Bucuresti, Judet Bucuresti (Romania)","17 890","17 890"
BMW,X6,2021,97 200 km,"Sat Apahida, Comuna Apahida Strada Liliacului 13, - 407035 Apahida, Judet Cluj (Romania)","79 900","79 900"
Mercedes-Benz,EQS,2022,7 km,"Calea Bucuresti nr.241, - 324767 Brasov, Judet Brasov (Romania)","149 945","149 945"
Volvo,V40,2015,167 500 km,"Bucuresti, Sectorul 1","8 450","8 450"
Audi,A6,2019,159 152 km,"Strada Padina 1, Bucharest, Romania - 015015 Bucuresti, Judet Bucuresti (Romania)","31 250","31 250"
Volkswagen,Passat,2016,197 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","12 500","12 500"
Audi,A4,2007,251 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","4 950","4 950"
Dacia,Duster,2018,180 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","10 750","10 750"
Kia,Sportage,2012,206 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 300","9 300"
Mercedes-Benz,S,2015,147 522 km,"Strada Virgiliu 46, Bucharest, Romania - 010884 Bucuresti, Judet Bucuresti (Romania)","38 500","38 500"
Toyota,Avensis,2012,197 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 250","8 250"
Opel,Astra,2019,184 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","10 250","10 250"
Volkswagen,Passat,2011,235 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 000","9 000"
BMW,Seria 3,2011,208 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","6 650","6 650"
Volkswagen,Passat,2020,90 500 km,"Str Intre Lacuri Nr.6 cluj napoca - 400601 Cluj-Napoca, Judet Cluj (Romania)","25 999","25 999"
Honda,Jazz,2011,140 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","5 450","5 450"
Seat,Ibiza,2015,140 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","5 750","5 750"
Kia,Sportage,2019,37 000 km,"DN E85, Nr 83 - 212329 Gura Calnaului, Judet Buzau (Romania)","19 800","19 800"
Mercedes-Benz,S,2018,79 000 km,"DN E85, Nr 83 - 212329 Gura Calnaului, Judet Buzau (Romania)","74 999","74 999"
Nissan,Qashqai+2,2010,201 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","7 250","7 250"
Mazda,5,2007,193 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","3 800","3 800"
Land Rover,Range Rover,2018,121 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","59 500","59 500"
BMW,Seria 5,2017,154 500 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","32 713","32 713"
Hyundai,Tucson,2021,23 700 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","38 066","38 066"
Volkswagen,Golf,2017,209 000 km,"Strada Avram Iancu 142A - 407280 Floresti, Judet Cluj (Romania)","10 489","10 489"
Volkswagen,Tiguan,2019,122 506 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","24 490","24 490"
Jeep,Wrangler,2020,64 000 km,"spatar milescu - 100451 Ploiesti, Judet Prahova (Romania)","60 214","60 214"
BMW,X6 M,2020,40 500 km,"Bucuresti, Splaiul Unirii, Nr. 311, Sec 3. - 236578 Bucuresti, Judet Bucuresti (Romania)","84 899","84 899"
Volkswagen,Touareg,2019,199 000 km,"Str.Plevnei Nr.117 - 400394 Cluj-Napoca, Judet Cluj (Romania)","39 990","39 990"
Volkswagen,Golf,2021,19 500 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","26 775","26 775"
Skoda,Scala,2023,2 300 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","18 326","18 326"
BMW,X1,2014,219 500 km,"com. Geamana Str. Targului ,NR 21/ IN PITESTI/ - 117141 Pitesti, Judet Arges (Romania)","12 490","12 490"
Toyota,Corolla,2019,57 217 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","19 850","19 850"
Volkswagen,Passat,2018,253 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","13 300","13 300"
Mercedes-Benz,B,2014,216 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 300","9 300"
Mercedes-Benz,CLA,2018,105 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","22 955","22 955"
Bentley,Continental,2022,4 900 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","235 620","235 620"
BMW,X6 M,2023,190 km,"Strada Verzisori Nr.50 - 040301 Bucuresti, Judet Bucuresti (Romania)","158 984","158 984"
BMW,Seria 5,2019,115 762 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","31 990","31 990"
Ford,Focus,2010,280 791 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","3 490","3 490"
Audi,Q7,2020,125 500 km,"Soseaua Sighisoarei nr 395/p - 547367 Corunca, Judet Mures (Romania)","61 989","61 989"
Lamborghini,Huracan,2016,28 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","219 000","219 000"
Ferrari,488 Spider,2018,22 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","225 000","225 000"
BMW,X5 M,2021,25 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","95 000","95 000"
Lamborghini,Huracan,2020,13 000 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","258 999","258 999"
Audi,Q5,2017,96 929 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","33 308","33 308"
Volkswagen,Golf Plus,2013,156 000 km,"PITESTI - 117141 Pitesti, Judet Arges (Romania)","6 590","6 590"
Mitsubishi,Outlander,2019,91 000 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","23 990","23 990"
Volkswagen,Golf Plus,2008,163 000 km,"Ion Ionescu de la Brad,nr.29 - 300245 Timisoara, Judet Timis (Romania)","4 900","4 900"
Renault,Koleos,2012,185 000 km,"Bucuresti, Sectorul 1","7 649","7 649"
BMW,X5,2020,110 084 km,"Bulevardul Pipera 1 Voluntari, Romania - 077191 Voluntari, Judet Bucuresti - Ilfov (Romania)","65 450","65 450"
Audi,A6,2015,235 000 km,"Str.Plevnei Nr.117 - 400394 Cluj-Napoca, Judet Cluj (Romania)","21 490","21 490"
Kia,Sportage,2011,194 000 km,"Constructorilor nr 28 - 300571 Timisoara, Judet Timis (Romania)","8 999","8 999"
DS Automobiles,DS 4 Crossback,2017,114 771 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","15 458","15 458"
Audi,A6,2017,206 000 km,"Str.Plevnei Nr.117 - 400394 Cluj-Napoca, Judet Cluj (Romania)","21 490","21 490"
Mercedes-Benz,G,2023,1 200 km,"Strada Comerțului 5, Domnești, Ilfov, Romania - 077090 Domnesti, Judet Bucuresti - Ilfov (Romania)","159 000","159 000"
Volkswagen,Passat,2019,166 181 km,"Brasov Prejmer strada mare 645A - 507165 Prejmer, Judet Brasov (Romania)","13 450","13 450"
Audi,A6,2016,178 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","21 350","21 350"
Audi,A5,2018,179 600 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","24 990","24 990"
BMW,Seria 3,2018,157 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","23 970","23 970"
BMW,X3,2015,179 600 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","21 955","21 955"
Volvo,S60,2021,49 800 km,"STR. RUBINULUI 8 - 707083 Valea Lupului, Judet Iasi (Romania)","49 385","49 385"
Porsche,992,2023,7 600 km,"Bucuresti, Sectorul 3","165 000","165 000"
Mercedes-Benz,GLA,2016,188 754 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","18 249","18 249"
Ford,Mondeo,2017,175 586 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","13 750","13 750"
Mercedes-Benz,GLA,2016,183 093 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","16 250","16 250"
BMW,Seria 4,2017,64 776 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","33 306","33 306"
Mercedes-Benz,GLC Coupe,2019,32 000 km,"Galati, Galati - 800364 Galati, Judet Galati (Romania)","45 999","45 999"
Fiat,Tipo,2018,37 574 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","9 390","9 390"
BMW,X7,2020,72 166 km,"DN 1B , SOS. PLOIESTI - BUZAU, NR. 505 - 107070 Blejoi, Judet Prahova (Romania)","77 231","77 231"
Porsche,Cayenne,2021,87 578 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","92 806","92 806"
Renault,Espace,2016,140 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","16 500","16 500"
Mercedes-Benz,C,2021,8 572 km,"Bucuresti, Sectorul 1","40 850","40 850"
BMW,Seria 3,2005,325 000 km,"Ramnicu Valcea, Judet Valcea","5 500","5 500"
BMW,Seria 5,2011,270 000 km,"Constanta, Judet Constanta","8 500","8 500"
Mercedes-Benz,G,2023,5 900 km,"Strada Verzisori Nr.50 - 040301 Bucuresti, Judet Bucuresti (Romania)","204 898","204 898"
BMW,X5,2021,65 000 km,"Ramnicu Valcea, Judet Valcea","58 500","58 500"
Mercedes-Benz,GLC,2017,229 300 km,"Ploiesti, Judet Prahova","22 900","22 900"
BMW,Seria 5,2017,110 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","24 990","24 990"
Hyundai,Tucson,2016,193 000 km,"Calea Doctor Alexandru Șafran 23, Bacău, Romania - 600298 Bacau, Judet Bacau (Romania)","16 800","16 800"
Land Rover,Discovery Sport,2021,94 000 km,"STRADA POPASULUI 88 - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","29 989","29 989"
Volvo,XC 90,2018,160 000 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","40 936","40 936"
Bentley,Bentayga,2022,5 500 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","328 900","328 900"
Volkswagen,Touran,2005,278 000 km,"Strada Principala, nr 701 - 123456 Sascut, Judet Bacau (Romania)","3 499","3 499"
BMW,X3,2015,254 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","14 300","14 300"
Audi,A4,2013,295 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","9 950","9 950"
BMW,X1,2017,152 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","16 950","16 950"
Hyundai,IONIQ,2017,100 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","17 450","17 450"
Honda,Civic,2019,33 000 km,"Mogosoaia, Judet Bucuresti - Ilfov","19 500","19 500"
Toyota,C-HR,2018,174 000 km,"Strada - 607355 Bacau, Judet Bacau (Romania)","18 450","18 450"
Skoda,Fabia,2020,87 410 km,"Bd Pipera 1/x - 077190 Voluntari, Judet Bucuresti - Ilfov (Romania)","11 200","11 200"
Fiat,500X,2017,137 000 km,"B-dul Garii nr. 3A - 500199 Brasov, Judet Brasov (Romania)","13 900","13 900"
Renault,Koleos,2017,199 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","17 990","17 990"
Mercedes-Benz,A,2022,5 000 km,"Drumul Eugen Brote nr 1 - 013833 Bucuresti, Judet Bucuresti (Romania)","39 499","39 499"
Mercedes-Benz,V,2023,,"Bd. Aurel Vlaicu - Nr.133 - 900498 Constanta, Judet Constanta (Romania)","70 834","70 834"
Rolls-Royce,Wraith,2019,39 900 km,"Calea Bucureștilor 289, Otopeni, România - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","408 333","408 333"
Audi,Q7,2018,62 351 km,"Sos. Bucuresti-Ploiesti, Nr145, - 235467 Otopeni, Judet Bucuresti - Ilfov (Romania)","41 000","41 000"
Renault,Megane,2017,165 000 km,"Pitesti, Judet Arges","10 799","10 799"
Audi,Q5,2020,106 958 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","39 258","39 258"
Volkswagen,Golf,2021,15 550 km,"Soseaua Bucuresti-Ploiesti 83-85-87 - 013685 Bucuresti, Judet Bucuresti (Romania)","24 990","24 990"
Nissan,Juke,2015,63 891 km,"Str. Corneliu Coposu - 40000 Cluj-Napoca, Judet Cluj (Romania)","10 890","10 890"
BMW,Seria 5,2014,199 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","16 990","16 990"
Volvo,V40,2014,198 000 km,"Pitesti, Judet Arges","10 499","10 499"
Audi,A5,2017,193 000 km,"Cluj-Napoca, Judet Cluj","27 900","27 900"
BMW,X4,2016,192 114 km,"Calea Bucurestilor , Nr. 1 , Otopeni , Ilfov - 077190 Otopeni, Judet Bucuresti - Ilfov (Romania)","23 450","23 450"
Volkswagen,Touran,2012,210 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 250","8 250"
Renault,Koleos,2010,247 000 km,"Str Teilor nr.170 - 307201 Timisoara, Judet Timis (Romania)","6 499","6 499"
Volkswagen,Passat,2018,150 000 km,"str. Traian Vuia nr. 236 (in curte la firma Elda) - 400397 Cluj-Napoca, Judet Cluj (Romania)","16 950","16 950"
Dacia,Duster,2019,71 512 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","16 189","16 189"
Jaguar,E-Pace,2018,110 178 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","29 736","29 736"
Volkswagen,Passat CC,2010,202 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 800","8 800"
Audi,A6,2013,248 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","12 999","12 999"
Mercedes-Benz,GLC,2016,188 236 km,"STR.VALEA CASCADELOR 11 F , SECTOR 6 BUCURESTI - 061511 Bucuresti, Judet Bucuresti (Romania)","28 999","28 999"
Toyota,Corolla,2019,148 486 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","18 390","18 390"
Audi,Q3,2014,140 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","13 500","13 500"
BMW,Seria 5,2017,72 000 km,"Deva, Judet Hunedoara","42 000","42 000"
Volkswagen,Tiguan,2013,254 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","12 300","12 300"
BMW,Seria 5,2019,136 500 km,"Petrosani, Judet Hunedoara","31 990","31 990"
Volkswagen,Sharan,2009,267 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","6 000","6 000"
Hyundai,Tucson,2019,180 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","16 500","16 500"
Mazda,CX-5,2017,180 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","16 300","16 300"
Dacia,Duster,2020,155 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","13 800","13 800"
Jaguar,E-Pace,2019,52 720 km,"STR. DISTRIBUTIEI, NR. 4 - 550135 Sibiu, Judet Sibiu (Romania)","29 849","29 849"
BMW,X1,2020,115 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","28 989","28 989"
Dacia,Duster,2018,154 000 km,"Soseaua Sighisoarei nr 395/p - 547367 Corunca, Judet Mures (Romania)","15 101","15 101"
Toyota,C-HR,2023,2 km,"Bulevardul Tudor Vladimirescu 29A, AFI Tech Park 2 - 050881 Bucuresti, Judet Bucuresti (Romania)","31 700","31 700"
Skoda,Octavia,2018,218 801 km,"Strada Traian Vuia Nr. 103 - 400387 Cluj-Napoca, Judet Cluj (Romania)","11 798","11 798"
Peugeot,308,2018,174 455 km,"Strada Traian Vuia Nr. 103 - 400387 Cluj-Napoca, Judet Cluj (Romania)","9 949","9 949"
BMW,X4,2020,169 400 km,"Mihai Viteazul, nr. 105 A - 450066 Zalau, Judet Salaj (Romania)","38 498","38 498"
Volkswagen,Golf,2019,193 115 km,"Strada Traian Vuia Nr. 103 - 400387 Cluj-Napoca, Judet Cluj (Romania)","11 299","11 299"
Jaguar,E-Pace,2019,143 380 km,"Strada Traian Vuia 236, Cluj-Napoca, Romania - 400397 Cluj-Napoca, Judet Cluj (Romania)","22 490","22 490"
Dacia,Lodgy,2013,179 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","5 499","5 499"
Mercedes-Benz,S,2018,168 000 km,"Bulevardul Pipera 1 Voluntari, Romania - 077191 Voluntari, Judet Bucuresti - Ilfov (Romania)","52 717","52 717"
Mercedes-Benz,GLE Coupe,2015,188 000 km,"Arad, Calea Radnei, Nr. 247 - 310316 Arad, Judet Arad (Romania)","41 490","41 490"
Mazda,CX-5,2019,192 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","17 490","17 490"
Opel,Astra,2013,120 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 300","8 300"
BMW,X5,2019,129 000 km,"Strada Avionului nr.9 - 014332 Bucuresti, Judet Bucuresti (Romania)","57 479","57 479"
Mercedes-Benz,EQA,2022,2 200 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","40 448","40 448"
Skoda,Kodiaq,2022,44 137 km,"Bulevardul Iuliu Maniu 516, Sector 6 - 061124 Bucuresti, Judet Bucuresti (Romania)","38 989","38 989"
Renault,Scenic,2013,197 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","5 999","5 999"
Volvo,XC 60,2018,95 742 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","46 993","46 993"
Kia,Sportage,2015,81 300 km,"Calea Clujului 197, Oradea, România - 410546 Oradea, Judet Bihor (Romania)","13 685","13 685"
Audi,A6,2017,250 000 km,"com. Geamana Str. Targului ,NR 21/ IN PITESTI/ - 117141 Pitesti, Judet Arges (Romania)","16 990","16 990"
Mercedes-Benz,GLE Coupe,2017,232 000 km,"Strada Transilvaniei 92, Baciu, Cluj - Napoca, Clu - 407055 Cluj-Napoca, Judet Cluj (Romania)","35 999","35 999"
Mercedes-Benz,V,2021,21 379 km,"Bucuresti, Sectorul 3","69 951","69 951"
Mercedes-Benz,C,2022,8 780 km,"Piata Montreal nr 10, WTC, Intrarea E, Parter - 011469 Bucuresti, Judet Bucuresti (Romania)","54 569","54 569"
Audi,A5,2013,133 200 km,"Sos. Pipera 50A, Sector 2, Bucuresti - 014254 Bucuresti, Judet Bucuresti (Romania)","15 300","15 300"
Audi,A4,2010,190 100 km,"Calea Aurel Vlaicu, nr. 282/2-3 - 310375 Arad, Judet Arad (Romania)","8 850","8 850"
Volvo,XC 60,2022,5 000 km,"CALEA FLORESTI NR.145 - 400524 Cluj-Napoca, Judet Cluj (Romania)","59 884","59 884"
Toyota,Prius,2018,124 000 km,"str 23 august - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","22 990","22 990"
Ford,Ranger,2021,110 421 km,"str 23 august - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","35 989","35 989"
Ford,Raptor,2020,131 721 km,"str 23 august - 075100 Otopeni, Judet Bucuresti - Ilfov (Romania)","37 989","37 989"
Toyota,Land Cruiser,2023,5 km,"Bulevardul Tudor Vladimirescu 29A, AFI Tech Park 2 - 050881 Bucuresti, Judet Bucuresti (Romania)","69 000","69 000"
Mercedes-Benz,GLC,2020,147 580 km,"str. Amurgului, nr. 1 - 300278 Timisoara, Judet Timis (Romania)","37 400","37 400"
BMW,Seria 7,2021,53 106 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","71 388","71 388"
Volkswagen,Polo,2015,249 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","8 250","8 250"
BMW,X3,2023,12 000 km,"Pacurari, Nr. 189 - 700545 Iasi, Judet Iasi (Romania)","65 899","65 899"
Mercedes-Benz,A,2023,6 km,"Calea Radnei Nr.247 - 310316 Arad, Judet Arad (Romania)","44 281","44 281"
Toyota,Yaris,2018,50 431 km,"Bulevardul Expozitiei 2 - 012103 Bucuresti, Judet Bucuresti (Romania)","16 900","16 900"
Ford,Focus,2019,135 587 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","13 989","13 989"
Audi,A4 Allroad,2020,162 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","29 990","29 990"
Volkswagen,Golf,2012,180 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","6 550","6 550"
Skoda,Octavia,2014,190 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 000","9 000"
Audi,Q5,2019,199 000 km,"Nicolae Balcescu - 607355 Nicolae Balcescu, Judet Bacau (Romania)","26 990","26 990"
Opel,Corsa,2015,113 000 km,"Constructorilor NR.9 - 307370 Sacalaz, Judet Timis (Romania)","6 999","6 999"
Audi,A7,2015,193 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","27 800","27 800"
Mini,Countryman,2021,13 000 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","32 950","32 950"
BMW,Seria 3,2010,237 000 km,"STR.BERLIN NR.20 VLADIMIRESCU - 317405 Arad, Judet Arad (Romania)","9 000","9 000"
Ford,Kuga,2013,234 600 km,"Calea Turzii 184, Cluj-Napoca, Romania - 400495 Cluj-Napoca, Judet Cluj (Romania)","11 500","11 500"
